source_key,term,pronunciation,pos,definition_zh,relation_type,relation_term,exam_tag,difficulty,etymology,example_en,example_zh,collection,unit,group,source_page,pdf_page,printed_page
ceec-108:level-2:barber,barber,'bɑ:bә,n.,n. 理髮師,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bark,bark,bɑ:k,n.|v.,"n. 樹皮, 吠聲\nvi. 吠, 叫罵\nvt. 喊出, 剝樹皮",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:base,base,beis,n.|v.,"n. 底部, 壘, 基礎, 基地\nvt. 以...作基礎\na. 卑鄙的, 低劣的\n[計] 基準",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:basic,basic,'beisik,adj.,"n. 基本原理, 要素, 基本規律\na. 基本的, 鹼性的\n(計算機)BASIC語言",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:basics,basics,,n.,"n. 最簡單但最重要的部分, 基本, 基礎訓練",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:basis,basis,'beisis,n.,"n. 基礎, 主要成分\n[化] 基底",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bathe,bathe,beið,v.,"vt. 沐浴, 用水洗\nvi. 洗澡",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:battle,battle,'bætl,n.|v.,n. 戰役\nv. 戰鬥,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beard,beard,biәd,n.,"n. 鬍鬚\nvt. 抓住鬍鬚, 公開反對",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beat,beat,bi:t,n.|v.,"n. 心跳(聲), 打, 敲打聲, 拍子\nv. 打, 拍打, 打敗\na. 疲乏的, 頹廢的\nbeat的過去式\n[計] 拍; 節拍",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beauty,beauty,'bju:ti,n.,"n. 美, 美人",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beer,beer,biә,n.,n. 啤酒\n[化] 啤酒,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beg,beg,beg,v.,"v. 乞求, 乞討, 請求",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beginner,beginner,bi'ginә,n.,n. 初學者,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:behave,behave,bi'heiv,v.,"vi. 舉止端正, 行為規矩\nvt. 檢點(自己的)行為, 使表現好",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:being,being,'bi:iŋ,n.,"n. 存在, 性質, 生命, 人, 生物, be的現在分詞",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:belief,belief,bi'li:f,n.,"n. 信念, 相信, 信仰",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bend,bend,bend,n.|v.,"vi. 變彎曲, 屈服\nvt. 使彎曲, 使屈服\nn. 彎曲",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:better,better,'betә,adj.|adv.|n.|v.,a. 較好的\nadv. 比較好,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:beyond,beyond,bi'jɒnd,adv.|prep.,"prep. 超過, 在那一邊, 遲於\nadv. 在遠處\nn. 更遠處",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bill,bill,bil,n.|v.,"n. 帳單, 清單, 鈔票, 鳥嘴, 廣告, 法案, 票據\nvt. 開帳單, (用招貼)宣佈",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:billion,billion,'biljәn,n.,"num. 十億, 十億個",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:birth,birth,bә:θ,n.,"n. 出生, 起源\n[醫] 生產, 分娩",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:biscuit,biscuit,'biskit,n.,n. 餅乾\n[化] 素坯; 餅乾,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bit,bit,bit,n.,"n. 少量, 馬嚼子, 輔幣\nvt. 給馬上嚼子, 控制\nbite的過去式和過去分詞\n[計] 位元, 二進位制數位, 機內測試",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:blackboard,blackboard,'blækbɒ:d,n.,n. 黑板,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:blame,blame,bleim,n.|v.,"n. 過失, 責備\nvt. 責備, 歸咎於",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:blank,blank,blæŋk,adj.|n.,"n. 空格, 空白\na. 空白的, 空虛的, 完全的, 無色的\nvi. 消失, 成為空白\nvt. 使無效, 取消, 封鎖\n[計] 空白",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:blanket,blanket,'blæŋkit,n.|v.,"n. 毛毯, 毯子\nvt. 掩蓋, 覆蓋\na. 總共的",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:blood,blood,blʌd,n.,"n. 血, 血統, 流血, 氣質, 生命\nvt. 使出血, 用血塗",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:board,board,bɒ:d,n.|v.,"n. 木板, 甲板, 膳食, 會議桌\nvt. 乘船, 供膳食, 用板覆蓋\nvi. 搭夥\n[計] 板",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:boil,boil,bɒil,n.|v.,"n. 煮沸, 沸騰, 癤\nv. 煮沸, 激動",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bone,bone,bәun,n.,"n. 骨頭, 骨, 骨製品\nvt. 剔骨\nvi. 專心致志",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bookstore,bookstore,'bukstɒ:,n.,n. 書店,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:border,border,'bɒ:dә,n.|v.,"n. 邊緣, 邊境, 邊界, 花壇\nvt. 在...上鑲邊, 接近\nvi. 接界, 近似\n[計] 邊框",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:bother,bother,'bɒðә,n.|v.,"vt. 煩擾, 迷惑\nvi. 煩惱, 操心\nn. 麻煩, 糾紛, 討厭的人",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brain,brain,brein,n.,n. 腦\nvt. 打碎腦部,,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:branch,branch,bræntʃ,n.|v.,"n. 樹枝, 支店, 支流, 分部\nvi. 分支, 出枝\nvt. 分割, 用枝狀葉脈刺繡花紋裝飾\n[計] 分支, 目錄分支",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brand,brand,brænd,n.,"n. 商標, 牌子, 烙印\nvt. 打烙印於",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brief,brief,bri:f,adj.|n.|v.,"n. 摘要, 簡報\na. 簡短的, 短暫的\nvt. 對...作簡報, 摘要, 節錄",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brilliant,brilliant,'briljәnt,adj.,"a. 光輝的, 燦爛的, 有才氣的\n[機] 亮的",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:broad,broad,brɒ:d,adj.,"a. 寬廣的, 遼闊的, 廣大的, 顯著的\nadv. 寬闊地\nn. 寬闊部分",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brow,brow,brau,n.,"n. 眉毛, 額\n[醫] 額, 眉, 睫毛",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
ceec-108:level-2:brush,brush,brʌʃ,n.|v.,"n. 刷子, 毛筆, 爭吵\nvt. 刷\nvi. 擦過, 掠過\n[計] 電刷",,,CEEC-108,2,,,,大考中心高中英文參考詞彙表（111學年度起適用）,LEVEL 2,官方清單,,,
